Source standard document and data requirement CFIHOS unique code,tag class CFIHOS unique code,tag class name,source standard CFIHOS unique code,source standard code,source standard document and data requirement number,source standard document and data requirement title,source standard document and data requirement typical deliverable,source standard document and data requirement description,source standard document and data requirement comment,document and data requirement type code,document and data requirement group code,engineering standard source chapter,discipline CFIHOS unique code,discipline name,document type CFIHOS unique code,document type name,default submit at proposal indicator,default submit for review indicator,default submit at delivery indicator,default issue for review number of weeks,default issue for review reference date,default issue for approval number of weeks,default issue for approval reference date,default for information number of weeks,default for information reference date,default required handover status code,default required translation indicator,deliverable format code
CFIHOS-68001871,CFIHOS-30000521,centrifugal pump,CFIHOS-90000308,IOGP S-615:2023,S615-IR-83,Declaration of conformity,Certificate of conformance,"The manufacture's or other party's confirmation that the product is designed, manufactured and tested as specified. To be delivered according to applicable authorities requirements.",Declarations of conformity shall be provided for all items installed on the equipment package and for the overall equipment package,equipment,technical information deliverables,,,,CFIHOS-70000013,approval certificate,No,Yes,No,,,,,,,,,PDF
CFIHOS-68001872,CFIHOS-30000370,switchgear and controlgear,CFIHOS-90000242,IOGP S-620:2022,S620-IR-100,Type test certificate,General certificate,"A document providing objective evidence that the equipment is compliant to relevant standards. To include equipment designation, manufacturer, testing authority name and address, specific year and edition of the IEC used to perform verification and a summ",,equipment,technical information deliverables,"6.16, 6.108.2.1, 6.108.4.2, 6.108.4.3, 6.110.5",,,CFIHOS-70000239,general certificate,No,No,Yes,,,,,,,,,PDF
CFIHOS-68001873,CFIHOS-30000370,switchgear and controlgear,CFIHOS-90000242,IOGP S-620:2022,S620-IR-101,Lifting equipment test certificate,Lifting equipment test certificate,Lifting equipment test certificate in relation switchgear load certified hoist.,,equipment,technical information deliverables,11.3,,,CFIHOS-70000432,lifting certificate,No,No,Yes,,,,,,,,,PDF
CFIHOS-68001874,CFIHOS-30000370,switchgear and controlgear,CFIHOS-90000242,IOGP S-620:2022,S620-IR-102,Weight data sheet,Weight report,Document with weight of individual shipping sections.,,equipment,technical information deliverables,11.3,,,CFIHOS-70000359,weight report,No,No,Yes,,,,,,,,,PDF
CFIHOS-68001875,CFIHOS-30000370,switchgear and controlgear,CFIHOS-90000242,IOGP S-620:2022,S620-IR-103,ECMS simulation test procedure,Test procedure,User-agreed functional test procedure of the ECMS or its parts using the parameter set for the planned application including communication interfaces with integrated control and safety systems.,,equipment,technical information deliverables,,,,CFIHOS-70000332,test procedure,No,Yes,No,,,,,,,,,PDF
CFIHOS-68001876,CFIHOS-30000370,switchgear and controlgear,CFIHOS-90000242,IOGP S-620:2022,S620-IR-104,ECMS simulation test report,Test report,Results from the execution of ECMS simulation test procedure including communication interfaces with integrated control and safety systems.,,equipment,technical information deliverables,,,,CFIHOS-70000245,inspection report,No,No,Yes,,,,,,,,,PDF
CFIHOS-68001877,CFIHOS-30000370,switchgear and controlgear,CFIHOS-90000242,IOGP S-620:2022,S620-IR-105,Routine verification test (FAT) procedure,Factory acceptance test (FAT) procedure,"Procedure documenting the manufacturers recommended testing activities and acceptance criteria according to applicable standards, specifications and requirements, to document the condition of the equipment as tested from factory. Procedure to define test ",,equipment,technical information deliverables,"8.102, 8.6.1, 8.6.2, 8.6.3, 8.6.4, E.3.1.3, E.3.4",,,CFIHOS-70000427,factory acceptance test procedure,No,Yes,No,,,,,,,,,PDF
CFIHOS-68001878,CFIHOS-30000370,switchgear and controlgear,CFIHOS-90000242,IOGP S-620:2022,S620-IR-106,Routine verification test (FAT) results,Factory acceptance test (FAT) records,This document records and documents all results from the activities performed in accordance with the FAT procedure. Include any observation rework or retesting.,,equipment,technical information deliverables,"8.102, 8.6.1, 8.6.2, 8.6.3, 8.6.4, E.3.1.3, E.3.4",,,CFIHOS-70000429,factory acceptance test records,No,Yes,No,,,,,,,,,PDF
CFIHOS-68001879,CFIHOS-30000370,switchgear and controlgear,CFIHOS-90000242,IOGP S-620:2022,S620-IR-107,Certificate of conformity,Certificate of conformance,"The manufacture's or other party's confirmation that the product is designed, manufactured and tested as specified. To be delivered according to applicable authorities requirements. An example is marine class approval of the switchgear.",Marine class approval from an independent verification body,equipment,technical information deliverables,"6.101, 6.108.4.1, 6.108.4.4, 6.108.4.5, 6.109.1, 6.109.2, 6.109.3, 6.109.4, 6.109.5, 6.109.6, 6.110.1, 6.110.2, 6.110.3, 6.110.4, 6.111.1, 6.112.1.1, 6.112.2.3, 6.112.2.6, 6.112.2.8, 6.112.3, 6.112.4.1, 6.113.1, 6.113.5, 6.114.2.9, 6.115.1, 6.115.2.1, 6.4",,,CFIHOS-70000013,approval certificate,No,No,Yes,,,,,,,,,PDF
CFIHOS-68001880,CFIHOS-30000370,switchgear and controlgear,CFIHOS-90000242,IOGP S-620:2022,S620-IR-108,Site acceptance test (SAT) procedure,Site acceptance test (SAT) procedure,"Procedure documenting the manufacturers recommended site tests including discrete functional unit and overall assembly, electrical, mechanical, protection relay and IEDs.",To incorporate site interfaces,equipment,technical information deliverables,8.104,,,CFIHOS-70000428,site acceptance test procedure,No,Yes,No,,,,,,,,,PDF
CFIHOS-68001881,CFIHOS-30000370,switchgear and controlgear,CFIHOS-90000242,IOGP S-620:2022,S620-IR-109,Site acceptance test (SAT) report,Site acceptance test (SAT) records,"Site acceptance test report including discrete functional unit and overall assembly, electrical, mechanical, protection relay and IED tests.",,equipment,technical information deliverables,8.104,,,CFIHOS-70000430,site acceptance test records,No,Yes,No,,,,,,,,,PDF
CFIHOS-68001882,CFIHOS-30000370,switchgear and controlgear,CFIHOS-90000242,IOGP S-620:2022,S620-IR-110,Maintenance manual,Maintenance manual,The manufacturer's standard maintenance manual. This document includes sufficient information to maintain the equipment. It is acknowledged this may be provided as part of an overall IOM manual. If required a supplementary sheet can be added identifying c,,equipment,technical information deliverables,6.116.1.3,,,CFIHOS-70000206,maintenance manual,No,No,Yes,,,,,,,,,
CFIHOS-68001883,CFIHOS-30000370,switchgear and controlgear,CFIHOS-90000242,IOGP S-620:2022,S620-IR-111,Operating manual,Operating manual,The manufacturer's standard operating manual. This document includes information to operate the assembly and subcomponents. This document includes sufficient information for troubleshooting. It is acknowledged this may be provided as part of an overall IO,,equipment,technical information deliverables,"6.109.12, 6.109.13, 6.109.14, 6.116.4, E.3.1.5",,,CFIHOS-70000228,operating manual,No,No,Yes,,,,,,,,,
CFIHOS-68001884,CFIHOS-30000370,switchgear and controlgear,CFIHOS-90000242,IOGP S-620:2022,S620-IR-123,Manufacturer data sheet,Manufacturer data sheet,"To include confirmation of compliance with S-620D by providing actual values of switchgear specification and all other information in accordance with IEC 62271-1:2021, 10, and IEC 62271-200:2021,10.",,equipment,technical information deliverables,10.3,,,CFIHOS-70000416,manufacturer datasheet,Yes,Yes,No,,,,,,,,,PDF
CFIHOS-68001885,CFIHOS-30000370,switchgear and controlgear,CFIHOS-90000242,IOGP S-620:2022,S620-IR-124,Special tools list,Special tools list,"The special tools list identifies special tool and equipment necessary for handling, installation, dismantling, operation and maintenance of the switchgear, including circuit breaker operating handles, earthing switch operating handles and software interr",,equipment,technical information deliverables,11.6.1,,,CFIHOS-70000454,special tools list,No,No,Yes,,,,,,,,,PDF
CFIHOS-68001886,CFIHOS-30000370,switchgear and controlgear,CFIHOS-90000242,IOGP S-620:2022,S620-IR-125,Inter-panel logic diagram,Logic diagram,"A representation of circuit breaker, disconnector, and switch relationships, with respect to interlocking, intertripping and blocking actions, taking into account switchgear status and monitoring (such as gas level). Where an executive action is taken by ",,equipment,technical information deliverables,6.3.105.3,,,CFIHOS-70000248,logic diagram,No,Yes,No,,,,,,,,,PDF
CFIHOS-68001887,CFIHOS-30000370,switchgear and controlgear,CFIHOS-90000242,IOGP S-620:2022,S620-IR-126,Gas compartment diagram,Single line diagram,"A pictorial representation of the main elements and functions of the gas system illustrating compartmentalization, locations of pressure relief discs/ rupture disc, location of the valves, SF6 gauges etc.",,equipment,technical information deliverables,6.103.2.2,,,CFIHOS-70000371,single line diagram,No,Yes,No,,,,,,,,,
CFIHOS-68001888,CFIHOS-30000370,switchgear and controlgear,CFIHOS-90000242,IOGP S-620:2022,S620-IR-127,Cyber security certification,Cyber Security Documentation,Certification confirming compliance with IEC 62243-4-2 for industrial automation and control system components.,,equipment,technical information deliverables,6.4.6,,,CFIHOS-70000318,risk assessment,No,No,Yes,,,,,,,,,
CFIHOS-68001889,CFIHOS-30000370,switchgear and controlgear,CFIHOS-90000242,IOGP S-620:2022,S620-IR-128,Arc duct or gas duct arrangement drawing,Arrangement drawing,"An overall representation of the switchgear ducting arrangement, showing how ionized gasses are safely evacuated.",,equipment,technical information deliverables,7.105.6,,,CFIHOS-70000153,general arrangement diagram,No,Yes,No,,,,,,,,,
CFIHOS-68001890,CFIHOS-30000370,switchgear and controlgear,CFIHOS-90000242,IOGP S-620:2022,S620-IR-66,Supplier master information schedule,Information deliverables list,,,equipment,contract management information deliverables,10.1,,,CFIHOS-70000099,master document register,No,No,Yes,,,,,,,,,PDF
CFIHOS-68001891,CFIHOS-30000370,switchgear and controlgear,CFIHOS-90000242,IOGP S-620:2022,S620-IR-67,Delivery schedule,Delivery/production schedule,"Schedule depicting, as applicable to the service or product scope, design, supply, manufacture, inspection, testing and delivery activities to be executed by manufacturer/suppliers. Schedule details typically **include; a) Contractual milestones. b) Activ",Preliminary with proposal,equipment,contract management information deliverables,,,,CFIHOS-70000298,procurement schedule,Yes,No,Yes,,,,,,,,,PDF
CFIHOS-68001892,CFIHOS-30000370,switchgear and controlgear,CFIHOS-90000242,IOGP S-620:2022,S620-IR-68,Progress report,Progress report,"Report detailing activities completed in the period, percent complete against planned, activities planned for the next period, risks/areas of concern, cause of any delays and proposed recovery plans, concessions, internal and outsourced inspection and aud",,equipment,contract management information deliverables,,,,CFIHOS-70000300,progress report,No,No,Yes,,,,,,,,,PDF
CFIHOS-68001893,CFIHOS-30000370,switchgear and controlgear,CFIHOS-90000242,IOGP S-620:2022,S620-IR-69,Quality plan,Quality plan,"Plan specifying the actions, responsibilities and associated resources to be applied by the manufacturer, and when applicable sub-suppliers, to deliver the services or procured item(s) in conformance with the agreed requirements. ISO9001 Clause 8.1 and IS",Preliminary with proposal,equipment,contract management information deliverables,,,,CFIHOS-70000451,quality plan,no,no,yes,,,,,,,,,PDF
CFIHOS-68001894,CFIHOS-30000370,switchgear and controlgear,CFIHOS-90000242,IOGP S-620:2022,S620-IR-71,Sub-supplier delivery schedule,Delivery/production schedule,"Definition of processes, products or services that will be externally provided and the controls to be applied by the supplier to ensure conformance with agreed requirements. The schedule includes evidence of the basis of capability assessment , quality ma",Preliminary with proposal,equipment,contract management information deliverables,,,,CFIHOS-70000298,procurement schedule,Yes,No,Yes,,,,,,,,,PDF
CFIHOS-68001895,CFIHOS-30000370,switchgear and controlgear,CFIHOS-90000242,IOGP S-620:2022,S620-IR-72,Inspection and test plan (ITP),Inspection and test plan (ITP),"Tabular presentation of a quality plan typically used for process or product applications to define the specific sequence of operational activities, instructions, acceptance criteria, records and associated manufacturer, user and independent conformity as",Preliminary with proposal,equipment,contract management information deliverables,,,,CFIHOS-70000180,inspection and test plan,Yes,Yes,No,,,,,,,,,PDF
CFIHOS-68001896,CFIHOS-30000370,switchgear and controlgear,CFIHOS-90000242,IOGP S-620:2022,S620-IR-73,"Handling, shipping and storage procedure","Handling, shipping and storage procedure","Definition of practices to be followed during the; storage, transport, lifting and preservation of the equipment and materials included in the scope of supply to maintain their functionality and guarantees. Procedures typically define: a) Packaging requir",,equipment,contract management information deliverables,,,,CFIHOS-70000154,"handling, shipping, storage procedure",No,Yes,No,,,,,,,,,PDF
CFIHOS-68001897,CFIHOS-30000370,switchgear and controlgear,CFIHOS-90000242,IOGP S-620:2022,S620-IR-74,Non-conformance records,Non-conformance records,Details of non-conformances raised by or to the manufacturer/sub suppliers against technical requirements prior to or during the delivery of the products or services. Non-conformance is managed by the manufacturer in accordance with ISO9001 Clause 8.7 and,,equipment,contract management information deliverables,,,,CFIHOS-70000226,non conformance report,No,No,Yes,,,,,,,,,PDF
CFIHOS-68001898,CFIHOS-30000370,switchgear and controlgear,CFIHOS-90000242,IOGP S-620:2022,S620-IR-75,Concession request,Concession request,"Formal submission seeking user agreement to accept deviations from the contracted scope or technical requirements. Requests may be raised as a result of, as examples, material or service availability, obsolescence, innovation, non-conformance. Requests ar",,equipment,contract management information deliverables,,,,CFIHOS-70000389,technical deviation request,No,Yes,No,,,,,,,,,PDF
CFIHOS-68001899,CFIHOS-30000370,switchgear and controlgear,CFIHOS-90000242,IOGP S-620:2022,S620-IR-76,Obsolescence management plan,Obsolescence management plan,"Plan defining the manufacturer's co-ordinated activities to direct and control the strategies for the identification and mitigation of the effects of obsolescence to the user, through all stages of the life of all components within the high-voltage switch",Preliminary with proposal,equipment,contract management information deliverables,,,,CFIHOS-70000447,obsolescence management plan,Yes,No,Yes,,,,,,,,,PDF
CFIHOS-68001900,CFIHOS-30000370,switchgear and controlgear,CFIHOS-90000242,IOGP S-620:2022,S620-IR-77,IED configuration responsibilities,Authority matrix,"Responsibility matrix or flow chart detailing device configuration and set-point responsibilities including protection relay, IED generic configuration and IED functional logic files for the purpose of interface control between user and manufacturer durin",Preliminary with proposal,equipment,contract management information deliverables,6.113.1,,,CFIHOS-70000023,authority matrix,Yes,No,Yes,,,,,,,,,PDF
CFIHOS-68001901,CFIHOS-30000370,switchgear and controlgear,CFIHOS-90000242,IOGP S-620:2022,S620-IR-78,Functional design specification,Functional design specification,"A document containing specific design data and performance requirements for the equipment. This document covers the design, available functionality and the hardware included in the scope. This document can also include images of hardware, topology sketche",,equipment,technical information deliverables,E.3.1.7,,,CFIHOS-70000244,functional design specification,Yes,No,Yes,,,,,,,,,PDF
CFIHOS-68001902,CFIHOS-30000370,switchgear and controlgear,CFIHOS-90000242,IOGP S-620:2022,S620-IR-79,General arrangement details,General arrangement diagram,The manufacturer's standard general arrangement drawing showing overall dimensions and critical interface dimensions. The drawing contains references to main specifications and standards. For equipment / components the drawing may include cross sectional ,Preliminary with proposal,equipment,technical information deliverables,"5.5, 6.103.2.4, 6.3.102, 6.116.1.1, 6.4.5.2.6, 8.6.1, E.3.1.4",,,CFIHOS-70000153,general arrangement diagram,Yes,Yes,No,,,,,,,,,PDF
CFIHOS-68001903,CFIHOS-30000370,switchgear and controlgear,CFIHOS-90000242,IOGP S-620:2022,S620-IR-80,Foundation and Installation details,Installation diagram,"The manufacturer's standard installation drawing showing; • Critical interface dimensions • Interface connections • Weight of assemblies, equipment and components • Centre of gravity • Withdrawal/installation and maintenance space • Installation and mount",,equipment,technical information deliverables,11.3,,,CFIHOS-70000119,installation diagram,No,No,Yes,,,,,,,,,PDF
CFIHOS-68001904,CFIHOS-30000370,switchgear and controlgear,CFIHOS-90000242,IOGP S-620:2022,S620-IR-81,Current transformer sizing calculations,Curves and tables calculations,"Calculations to size the CT's, e.g. burden and accuracy class.",,equipment,technical information deliverables,6.110.2,,,CFIHOS-70000449,performance report,No,No,Yes,,,,,,,,,PDF
CFIHOS-68001905,CFIHOS-30000370,switchgear and controlgear,CFIHOS-90000242,IOGP S-620:2022,S620-IR-82,Current transformer characteristics,Curves and tables calculations,The magnetization and transient characteristics of the current transformers.,,equipment,technical information deliverables,6.110.2,,,CFIHOS-70000449,performance report,No,No,Yes,,,,,,,,,PDF
