CFIHOS unique code,CFIHOS name,CFIHOS description,CFIHOS definition file
CFIHOS-68001174,S704-IR-44,Lateral vibration analysis report,source standard document and data requirement
CFIHOS-68001175,S704-IR-45,Foundation loading details,source standard document and data requirement
CFIHOS-68001176,S704-IR-46,Special tools,source standard document and data requirement
CFIHOS-68001177,S704-IR-47,Spare parts list,source standard document and data requirement
CFIHOS-68001178,S704-IR-48,Lubrication data sheet,source standard document and data requirement
CFIHOS-68001179,S704-IR-49,Detail drawing(s),source standard document and data requirement
CFIHOS-68001180,S704-IR-50,General certification,source standard document and data requirement
CFIHOS-68001181,S704-IR-51,Nominated sub-suppliers and service list,source standard document and data requirement
CFIHOS-68001182,S704-IR-52,Welding procedure,source standard document and data requirement
CFIHOS-68001183,S704-IR-54,Rotor balancing report,source standard document and data requirement
CFIHOS-68001184,S704-IR-55,Manufacturer Record Book (MRB),source standard document and data requirement
CFIHOS-68001185,S704-IR-56,Non destructive test report,source standard document and data requirement
CFIHOS-68001186,S704-IR-57,Non destructive test procedure,source standard document and data requirement
CFIHOS-68001187,S704-IR-58,Name plate drawing,source standard document and data requirement
CFIHOS-68001188,S704-IR-62,Welding procedure qualification record,source standard document and data requirement
CFIHOS-68001189,S704-IR-63,Non destructive test personnel qualification,source standard document and data requirement
CFIHOS-68001190,S704-IR-64,Utilities schedule,source standard document and data requirement
CFIHOS-68001191,S704-IR-65,Wiring diagram,source standard document and data requirement
CFIHOS-68001192,S704-IR-66,Positive material identification (PMI) procedure,source standard document and data requirement
CFIHOS-68001193,S704-IR-67,Positive material identification (PMI) report,source standard document and data requirement
CFIHOS-68001194,API 610 #05,"required for CAS level A, B & C",source standard document and data requirement condition
CFIHOS-68001195,API 610 #06,"required for CAS level A, B & C",source standard document and data requirement condition
CFIHOS-68001196,API 610 #07,needed if specified on the data sheet,source standard document and data requirement condition
CFIHOS-68001197,API 610 #09,required for CAS level A & B,source standard document and data requirement condition
CFIHOS-68001198,API 610 #12,"required for CAS level A, B & C",source standard document and data requirement condition
CFIHOS-68001199,API 610 #13,"required for CAS level A, B & C",source standard document and data requirement condition
CFIHOS-68001200,API 610 #14,needed if major weld repair performed,source standard document and data requirement condition
CFIHOS-68001201,API 610 #15,"required for CAS level A, B & C",source standard document and data requirement condition
CFIHOS-68001202,API 610 #16,"required for CAS level A, B & C",source standard document and data requirement condition
CFIHOS-68001203,API 610 #18,"required for CAS level A, B & C",source standard document and data requirement condition
CFIHOS-68001204,API 610 #19,needed if specified on the data sheet,source standard document and data requirement condition
CFIHOS-68001205,API 610 #20,needed if special tools are specified,source standard document and data requirement condition
CFIHOS-68001206,API 610 #23,needed if specified on the data sheet,source standard document and data requirement condition
CFIHOS-68001207,API 610 #25,needed if specified on the data sheet,source standard document and data requirement condition
CFIHOS-68001208,API 610 #26,needed if optional test are specified on the data sheet,source standard document and data requirement condition
CFIHOS-68001209,API 610 #27,needed if specified on the data sheet,source standard document and data requirement condition
CFIHOS-68001210,API 610 #35,"required for CAS level A, B & C",source standard document and data requirement condition
CFIHOS-68001211,API 610 #36,needed if specified on the data sheet,source standard document and data requirement condition
CFIHOS-68001212,API 610 #37,needed if specified on the data sheet,source standard document and data requirement condition
CFIHOS-68001213,API 610 #38,needed if any fluids are included in the vendor's scope,source standard document and data requirement condition
CFIHOS-68001214,API 610 #39,"needed for pumps with condition monitoring, (dual) seal systems and pressurised lube systems",source standard document and data requirement condition
CFIHOS-68001215,MD#04,"required for CAS level A, B & C",source standard document and data requirement condition
CFIHOS-68001216,S-615#01,if required by the vendor,source standard document and data requirement condition
CFIHOS-68001217,S-615#02,needed if instruments are included in the vendor's scope,source standard document and data requirement condition
CFIHOS-68001218,S-615#03,needed if instruments are included in the vendor's scope,source standard document and data requirement condition
CFIHOS-68001219,S-615#04,"required for CAS level A, B & C",source standard document and data requirement condition
CFIHOS-68001220,S-615#05,"required for CAS level A, B & C",source standard document and data requirement condition
CFIHOS-68001221,S-615#07,needed if impeller was modified after test (with Purchaser's approval),source standard document and data requirement condition
CFIHOS-68001222,S704-IR-29,where purchaser confirms the motor is converter-fed,source standard document and data requirement condition
CFIHOS-68001223,S704-IR-35,data for protection setting/power modelling for single-speed motors,source standard document and data requirement condition
CFIHOS-68001224,S704-IR-38,motor rated for use in a potentially explosive atmosphere,source standard document and data requirement condition
CFIHOS-68001225,S704-IR-42,are for single speed use,source standard document and data requirement condition
CFIHOS-68001226,S704-IR-44,needed if optional test are specified on the data sheet,source standard document and data requirement condition
CFIHOS-68001227,S704-IR-46,needed if special tools are specified,source standard document and data requirement condition
CFIHOS-68001228,S704-IR-50,where applicable,source standard document and data requirement condition
CFIHOS-68001229,S704-IR-51,required for CAS level A & B,source standard document and data requirement condition
CFIHOS-68001230,S704-IR-52,required for CAS level A only,source standard document and data requirement condition
CFIHOS-68001231,S704-IR-54,"required for CAS level A, B & C",source standard document and data requirement condition
CFIHOS-68001232,S704-IR-56,required for CAS level A only,source standard document and data requirement condition
CFIHOS-68001233,S704-IR-57,required for CAS level A only,source standard document and data requirement condition
CFIHOS-68001234,S704-IR-62,required for CAS level A only,source standard document and data requirement condition
CFIHOS-68001235,S704-IR-63,required for CAS level A only,source standard document and data requirement condition
CFIHOS-68001236,S704-IR-66,required for CAS level A & B,source standard document and data requirement condition
CFIHOS-68001237,S704-IR-67,required for CAS level A & B,source standard document and data requirement condition
CFIHOS-68001238,CFIHOS-30000003-IR-CFIHOS-70000417,blow out preventer - check sheet,source standard document and data requirement
CFIHOS-68001239,CFIHOS-30000003-IR-CFIHOS-70000414,blow out preventer - completion certificate,source standard document and data requirement
CFIHOS-68001240,CFIHOS-30000003-IR-CFIHOS-70000431,blow out preventer - declaration of conformity,source standard document and data requirement
CFIHOS-68001241,CFIHOS-30000003-IR-CFIHOS-70000399,blow out preventer - equipment specification,source standard document and data requirement
CFIHOS-68001242,CFIHOS-30000003-IR-CFIHOS-70000244,blow out preventer - functional design specification,source standard document and data requirement
CFIHOS-68001243,CFIHOS-30000003-IR-CFIHOS-70000153,blow out preventer - general arrangement diagram,source standard document and data requirement
CFIHOS-68001244,CFIHOS-30000003-IR-CFIHOS-70000158,blow out preventer - hazard and operability report,source standard document and data requirement
CFIHOS-68001245,CFIHOS-30000003-IR-CFIHOS-70000180,blow out preventer - inspection and test plan,source standard document and data requirement
CFIHOS-68001246,CFIHOS-30000003-IR-CFIHOS-70000119,blow out preventer - installation diagram,source standard document and data requirement
CFIHOS-68001247,CFIHOS-30000003-IR-CFIHOS-70000406,blow out preventer - purchase order,source standard document and data requirement
CFIHOS-68001248,CFIHOS-30000003-IR-CFIHOS-70000079,blow out preventer - regulatory compliance certificate,source standard document and data requirement
CFIHOS-68001249,CFIHOS-30000003-IR-CFIHOS-70000318,blow out preventer - risk assessment,source standard document and data requirement
CFIHOS-68001250,CFIHOS-30000003-IR-CFIHOS-70000322,blow out preventer - safe operation study,source standard document and data requirement
CFIHOS-68001251,CFIHOS-30000003-IR-CFIHOS-70000378,blow out preventer - stress calculation,source standard document and data requirement
CFIHOS-68001252,CFIHOS-30000003-IR-CFIHOS-70000388,blow out preventer - system study,source standard document and data requirement
CFIHOS-68001253,CFIHOS-30000004-IR-CFIHOS-70000119,break glass unit - installation diagram,source standard document and data requirement
CFIHOS-68001254,CFIHOS-30000017-IR-CFIHOS-70000028,cleaning machine - bill of materials,source standard document and data requirement
CFIHOS-68001255,CFIHOS-30000017-IR-CFIHOS-70000117,cleaning machine - design datasheet,source standard document and data requirement
CFIHOS-68001256,CFIHOS-30000017-IR-CFIHOS-70000153,cleaning machine - general arrangement diagram,source standard document and data requirement
CFIHOS-68001257,CFIHOS-30000017-IR-CFIHOS-70000206,cleaning machine - maintenance manual,source standard document and data requirement
CFIHOS-68001258,CFIHOS-30000017-IR-CFIHOS-70000416,cleaning machine - manufacturer datasheet,source standard document and data requirement
CFIHOS-68001259,CFIHOS-30000026-IR-CFIHOS-70000028,degasser - bill of materials,source standard document and data requirement
CFIHOS-68001260,CFIHOS-30000026-IR-CFIHOS-70000117,degasser - design datasheet,source standard document and data requirement
CFIHOS-68001261,CFIHOS-30000026-IR-CFIHOS-70000153,degasser - general arrangement diagram,source standard document and data requirement
CFIHOS-68001262,CFIHOS-30000026-IR-CFIHOS-70000181,degasser - installation manual,source standard document and data requirement
CFIHOS-68001263,CFIHOS-30000026-IR-CFIHOS-70000206,degasser - maintenance manual,source standard document and data requirement
CFIHOS-68001264,CFIHOS-30000026-IR-CFIHOS-70000401,degasser - maintenance strategy,source standard document and data requirement
CFIHOS-68001265,CFIHOS-30000026-IR-CFIHOS-70000416,degasser - manufacturer datasheet,source standard document and data requirement
CFIHOS-68001266,CFIHOS-30000028-IR-CFIHOS-70000181,deionizer - installation manual,source standard document and data requirement
